('2010-1-20!7', 70)
('2010-1-20!8', 16)
('2010-1-20!9', 27)
('2010-1-21!0', 0)
('2010-1-21!1', 64)
('2010-1-21!10', 40)
('2010-1-21!11', 33)
('2010-1-21!12', 24)
('2010-1-21!13', 26)
('2010-1-21!14', 14)
('2010-1-21!15', 15)
('2010-1-21!17', 17)
('2010-1-21!2', 74)
('2010-1-21!22', 22)
('2010-1-21!3', 63)
('2010-1-21!4', 68)
('2010-1-21!5', 35)
('2010-1-21!6', 72)
('2010-1-21!7', 49)
('2010-1-21!8', 40)
('2010-1-21!9', 18)
('2010-1-22!0', 0)
('2010-1-22!1', 44)
('2010-1-22!10', 20)
('2010-1-22!12', 48)
('2010-1-22!13', 39)
('2010-1-22!15', 15)
('2010-1-22!2', 62)
('2010-1-22!20', 20)
('2010-1-22!27', 27)
('2010-1-22!28', 28)
('2010-1-22!3', 51)
('2010-1-22!33', 33)
('2010-1-22!4', 52)
('2010-1-22!45', 45)
('2010-1-22!5', 55)
('2010-1-22!6', 48)
('2010-1-22!7', 49)
('2010-1-22!8', 24)
('2010-1-22!9', 36)
('2010-1-23!0', 0)
('2010-1-23!1', 41)
('2010-1-23!10', 10)
('2010-1-23!11', 22)
('2010-1-23!12', 72)
('2010-1-23!13', 26)
('2010-1-23!14', 14)
('2010-1-23!17', 34)
('2010-1-23!18', 18)
('2010-1-23!2', 42)
('2010-1-23!28', 28)
('2010-1-23!29', 29)
('2010-1-23!3', 42)
('2010-1-23!30', 30)
('2010-1-23!35', 35)
('2010-1-23!38', 38)
('2010-1-23!4', 52)
('2010-1-23!46', 46)
('2010-1-23!5', 55)
('2010-1-23!6', 36)
('2010-1-23!60', 60)
('2010-1-23!7', 63)
('2010-1-23!8', 40)
('2010-1-23!9', 18)
('2010-1-24!0', 0)
('2010-1-24!1', 19)
('2010-1-24!10', 10)
('2010-1-24!2', 20)
('2010-1-24!3', 9)
('2010-1-24!4', 12)
('2010-1-24!5', 5)
('2010-1-24!6', 6)
('2010-1-24!7', 14)
('2010-1-25!0', 0)
('2010-1-25!1', 30)
('2010-1-25!11', 22)
('2010-1-25!12', 12)
('2010-1-25!2', 38)
('2010-1-25!3', 48)
('2010-1-25!4', 44)
('2010-1-25!5', 15)
('2010-1-25!6', 60)
('2010-1-25!7', 28)
('2010-1-25!8', 40)
('2010-1-25!9', 36)
('2010-1-26!0', 0)
('2010-1-26!1', 30)
('2010-1-26!10', 20)
('2010-1-26!11', 33)
('2010-1-26!12', 36)
('2010-1-26!13', 26)
('2010-1-26!2', 58)
('2010-1-26!3', 66)
('2010-1-26!34', 68)
('2010-1-26!4', 52)
('2010-1-26!5', 40)
('2010-1-26!6', 6)
('2010-1-26!7', 35)
('2010-1-26!8', 8)
('2010-1-27!0', 0)
('2010-1-27!1', 35)
('2010-1-27!10', 20)
('2010-1-27!11', 11)
('2010-1-27!12', 12)
('2010-1-27!13', 13)
('2010-1-27!14', 28)
('2010-1-27!2', 52)
('2010-1-27!3', 51)
('2010-1-27!4', 44)
('2010-1-27!5', 45)
('2010-1-27!6', 42)
('2010-1-27!7', 84)
('2010-1-27!8', 56)
