('2016-4-18!0', 45)
('2016-4-18!1', 14)
('2016-4-18!2', 22)
('2016-4-18!3', 5)
('2016-4-18!4', 2)
('2016-4-18!5', 3)
('2016-4-19!0', 52)
('2016-4-19!1', 18)
('2016-4-19!2', 16)
('2016-4-19!3', 7)
('2016-4-19!4', 2)
('2016-4-19!5', 4)
('2016-4-19!6', 2)
('2016-4-19!8', 2)
('2016-4-2!0', 83)
('2016-4-2!1', 14)
('2016-4-2!2', 22)
('2016-4-2!3', 8)
('2016-4-2!4', 9)
('2016-4-2!7', 1)
('2016-4-2!8', 1)
('2016-4-2!9', 2)
('2016-4-20!0', 52)
('2016-4-20!1', 25)
('2016-4-20!12', 1)
('2016-4-20!2', 20)
('2016-4-20!3', 7)
('2016-4-20!4', 6)
('2016-4-20!5', 3)
('2016-4-20!6', 3)
('2016-4-20!7', 2)
('2016-4-20!8', 1)
('2016-4-20!9', 1)
('2016-4-21!0', 56)
('2016-4-21!1', 20)
('2016-4-21!2', 21)
('2016-4-21!3', 13)
('2016-4-21!4', 6)
('2016-4-21!5', 1)
('2016-4-21!6', 2)
('2016-4-22!0', 57)
('2016-4-22!1', 17)
('2016-4-22!15', 1)
('2016-4-22!2', 16)
('2016-4-22!22', 1)
('2016-4-22!3', 6)
('2016-4-22!4', 2)
('2016-4-22!5', 5)
('2016-4-22!6', 2)
('2016-4-22!7', 1)
('2016-4-23!0', 77)
('2016-4-23!1', 20)
('2016-4-23!10', 1)
('2016-4-23!16', 1)
('2016-4-23!2', 18)
('2016-4-23!3', 15)
('2016-4-23!5', 4)
('2016-4-23!6', 1)
('2016-4-24!0', 28)
('2016-4-24!1', 8)
('2016-4-24!2', 4)
('2016-4-24!3', 3)
('2016-4-24!6', 1)
('2016-4-25!0', 51)
('2016-4-25!1', 17)
('2016-4-25!2', 18)
('2016-4-25!3', 5)
('2016-4-25!4', 3)
('2016-4-25!5', 5)
('2016-4-25!7', 2)
('2016-4-26!0', 40)
('2016-4-26!1', 16)
('2016-4-26!2', 21)
('2016-4-26!3', 8)
('2016-4-26!4', 3)
('2016-4-26!5', 8)
('2016-4-26!6', 1)
('2016-4-26!8', 1)
('2016-4-27!0', 53)
('2016-4-27!1', 17)
('2016-4-27!2', 7)
('2016-4-27!3', 16)
('2016-4-27!4', 4)
('2016-4-27!5', 3)
('2016-4-27!6', 2)
('2016-4-27!8', 1)
('2016-4-28!0', 51)
('2016-4-28!1', 18)
('2016-4-28!2', 23)
('2016-4-28!3', 12)
('2016-4-28!4', 2)
('2016-4-28!5', 4)
('2016-4-28!6', 2)
('2016-4-28!7', 2)
('2016-4-29!0', 46)
('2016-4-29!1', 18)
('2016-4-29!2', 18)
('2016-4-29!3', 5)
('2016-4-29!4', 4)
('2016-4-29!5', 1)
('2016-4-29!6', 1)
('2016-4-29!7', 1)
('2016-4-29!9', 1)
('2016-4-3!0', 25)
('2016-4-3!1', 9)
('2016-4-3!2', 4)
('2016-4-3!3', 3)
('2016-4-3!4', 1)
