('2011-12-31!5', 3)
('2011-12-31!4', 29)
('2011-12-31!3', 294)
('2011-12-31!2', 2939)
('2011-12-31!14', 1)
('2011-12-31!1', 76918)
('2011-12-31!0', 3056928)
('2011-12-30!4', 18)
('2011-12-30!3', 263)
('2011-12-30!2', 3714)
('2011-12-30!1', 90241)
('2011-12-30!0', 3269367)
('2011-12-29!7', 1)
('2011-12-29!5', 4)
('2011-12-29!4', 25)
('2011-12-29!3', 511)
('2011-12-29!2', 4134)
('2011-12-29!1', 89085)
('2011-12-29!0', 3240007)
('2011-12-28!7', 1)
('2011-12-28!5', 3)
('2011-12-28!4', 17)
('2011-12-28!3', 203)
('2011-12-28!2', 4119)
('2011-12-28!1', 92374)
('2011-12-28!0', 3217269)
('2011-12-27!6', 1)
('2011-12-27!5', 5)
('2011-12-27!4', 25)
('2011-12-27!3', 204)
('2011-12-27!2', 3724)
('2011-12-27!1', 87942)
('2011-12-27!0', 3210021)
('2011-12-26!6', 3)
('2011-12-26!5', 3)
('2011-12-26!4', 18)
('2011-12-26!3', 171)
('2011-12-26!2', 3266)
('2011-12-26!1', 74575)
('2011-12-26!0', 3099856)
('2011-12-25!7', 1)
('2011-12-25!6', 1)
('2011-12-25!5', 1)
('2011-12-25!4', 23)
('2011-12-25!3', 180)
('2011-12-25!2', 2791)
('2011-12-25!1', 71979)
('2011-12-25!0', 3118242)
('2011-12-24!7', 1)
('2011-12-24!5', 3)
('2011-12-24!4', 19)
('2011-12-24!3', 151)
('2011-12-24!2', 3291)
('2011-12-24!13', 2)
('2011-12-24!12', 3)
('2011-12-24!1', 90303)
('2011-12-24!0', 3077096)
('2011-12-23!7', 1)
('2011-12-23!6', 14)
('2011-12-23!5', 1)
('2011-12-23!4', 20)
('2011-12-23!3', 208)
('2011-12-23!2', 3456)
('2011-12-23!1', 90918)
('2011-12-23!0', 3218521)
('2011-12-22!7', 1)
('2011-12-22!6', 1)
('2011-12-22!5', 5)
('2011-12-22!4', 25)
('2011-12-22!3', 241)
('2011-12-22!2', 3659)
('2011-12-22!1', 87119)
('2011-12-22!0', 3002401)
('2011-12-21!8', 2)
('2011-12-21!5', 17)
('2011-12-21!4', 23)
('2011-12-21!3', 263)
('2011-12-21!2', 3842)
('2011-12-21!1', 87301)
('2011-12-21!0', 2998090)
('2011-12-20!7', 1)
('2011-12-20!5', 24)
('2011-12-20!4', 51)
('2011-12-20!3', 245)
('2011-12-20!2', 3812)
('2011-12-20!1', 82117)
('2011-12-20!0', 2920470)
('2011-12-19!7', 1)
('2011-12-19!5', 2)
('2011-12-19!4', 31)
('2011-12-19!3', 290)
('2011-12-19!2', 3630)
('2011-12-19!10', 3)
('2011-12-19!1', 79236)
('2011-12-19!0', 2914880)
('2011-12-18!6', 1)
('2011-12-18!5', 2)
('2011-12-18!4', 14)
('2011-12-18!3', 221)
('2011-12-18!2', 3426)
('2011-12-18!1', 81845)
('2011-12-18!0', 3060091)
('2011-12-17!6', 1)
('2011-12-17!5', 4)
('2011-12-17!4', 27)
('2011-12-17!3', 275)
('2011-12-17!2', 3673)
('2011-12-17!1', 86754)
('2011-12-17!0', 3055859)
('2011-12-16!6', 2)
('2011-12-16!5', 3)
('2011-12-16!4', 83)
('2011-12-16!3', 274)
('2011-12-16!2', 3901)
('2011-12-16!1', 84376)
('2011-12-16!0', 3047016)
('2011-12-15!6', 1)
('2011-12-15!5', 4)
('2011-12-15!4', 34)
('2011-12-15!3', 316)
('2011-12-15!2', 3991)
('2011-12-15!1', 82522)
('2011-12-15!0', 2862602)
('2011-12-14!6', 3)
('2011-12-14!5', 2)
('2011-12-14!4', 45)
('2011-12-14!3', 307)
('2011-12-14!2', 4223)
('2011-12-14!1', 84005)
('2011-12-14!0', 2840374)
('2011-12-13!7', 1)
('2011-12-13!6', 3)
('2011-12-13!5', 4)
('2011-12-13!4', 29)
('2011-12-13!3', 313)
('2011-12-13!2', 5021)
('2011-12-13!1', 96965)
('2011-12-13!0', 2893094)
('2011-12-12!6', 2)
('2011-12-12!5', 3)
('2011-12-12!4', 25)
('2011-12-12!3', 260)
('2011-12-12!2', 3888)
('2011-12-12!1', 79467)
('2011-12-12!0', 2811050)
('2011-12-11!6', 1)
('2011-12-11!4', 102)
('2011-12-11!3', 188)
('2011-12-11!2', 3719)
('2011-12-11!1', 78607)
