('0', 200829)
('1', 108236)
('10', 3296)
('11', 2590)
('12', 2107)
('13', 1710)
('130', 1)
('131', 1)
('14', 1304)
('142', 1)
('15', 1104)
('16', 874)
('17', 701)
('18', 594)
('19', 476)
('2', 60838)
('20', 406)
('21', 369)
('22', 300)
('23', 274)
('24', 187)
('25', 172)
('26', 128)
('27', 133)
('28', 109)
('29', 101)
('3', 36843)
('30', 80)
('31', 79)
('32', 63)
('33', 60)
('34', 52)
('35', 46)
('36', 36)
('37', 33)
('38', 18)
('39', 24)
('4', 23282)
('40', 20)
('41', 25)
('42', 20)
('43', 16)
('44', 14)
('45', 14)
('46', 15)
('47', 8)
('48', 10)
('49', 9)
('5', 15393)
('50', 11)
('51', 8)
('52', 7)
('53', 3)
('54', 7)
('55', 2)
('56', 8)
('57', 4)
('58', 6)
('59', 3)
('6', 10840)
('60', 2)
('61', 4)
('62', 2)
('63', 2)
('64', 3)
('65', 3)
('69', 2)
('7', 7890)
('70', 2)
('73', 1)
('75', 2)
('77', 1)
('79', 1)
('8', 5750)
('80', 1)
('84', 1)
('9', 4285)
